title,description,source,published_at,url,keyword
TAT Technologies Q1 Earnings Call Highlights,"TAT Technologies (NASDAQ:TATT) said first-quarter 2026 revenue slipped slightly from a year earlier as supply chain disruptions delayed the completion and delivery of some aerospace maintenance work, but management said demand remains at record levels and reaffirmed its expectation for meaningful fu",lulegacy,2026-05-20T14:07:58+00:00,https://www.marketbeat.com/instant-alerts/tat-technologies-q1-earnings-call-highlights-2026-05-20/,supply chain disruption
Firms set aside investing as Iran war squeeze tightens,"They are grappling with supply chain disruption, including delays and stock shortages, as well as higher energy bills.",thisismoney,2026-05-17T20:50:31+00:00,https://www.dailymail.com/money/markets/article-15825631/Firms-set-aside-investing-Iran-war-squeeze-tightens.html?ns_mchannel=rss&ns_campaign=1490&ito=1490,supply chain disruption
"Measures underway to ease congestion at Sepanggar Bay Container Port, says SPA chairman","KOTA KINABALU (May 16): The Sabah Ports Authority (SPA) has assured industry players and the public that both immediate and long-term measures are being actively implemented to address operational congestion at Sepanggar Bay Container Port (SBCP), amid growing concerns over rising logistics costs and potential supply chain disruptions in the state. SPA chairman Datuk Donald [...]The post Measures underway to ease congestion at Sepanggar Bay Container Port, says SPA chairman appeared first on Borneo Post Online.",theborneopost,2026-05-16T08:49:38+00:00,https://www.theborneopost.com/2026/05/16/measures-underway-to-ease-congestion-at-sepanggar-bay-container-port-says-spa-chairman/,supply chain disruption
Charlebois: The restaurant industry’s breaking point has arrived (Writer's Bloc),"Canada's restaurant industry is often treated as a symbol of resilience. Through inflation, lockdowns, labour shortages and supply chain disruptions, restaurateurs have somehow kept the lights on. But beneath the surface of the latest sales numbers lies a much darker reality-the economics of operati...",Castanet,2026-05-15T11:00:00+00:00,https://www.castanet.net/news/Writers-Bloc/614470/Charlebois-The-restaurant-industry-s-breaking-point-has-arrived,supply chain disruption
How UAE-Kenya trade corridor is redefining East Africa’s economic future,"For years, the narrative of Africa-global trade partnerships has been defined by extraction or aid dependency. Kenya has felt this acutely supply chain disruptions, infrastructure gaps, and foreign investment that rarely reaches the small-scale farmer or the young job-seeker. But a new model is emerging along the Indian Ocean corridor, and it is being built [&#8230;]The post How UAE-Kenya trade corridor is redefining East Africa’s economic future appeared first on KBC Digital.",kbc,2026-05-15T06:02:14+00:00,https://www.kbc.co.ke/how-uae-kenya-trade-corridor-is-redefining-east-africas-economic-future/,supply chain disruption
Diet Coke Parties: Iran War Cans Crisis Fuels Thirst For Cola Events in India,"Unlike most other markets, Diet Coke is sold only in cans in India, making the Coca-Cola beverage more vulnerable to supply chain disruptions caused by shipments stuck in the Strait of Hormuz",deccanchronicle,2026-05-12T16:04:08+00:00,https://www.deccanchronicle.com/nation/diet-coke-parties-iran-war-cans-crisis-fuels-thirst-for-cola-events-in-india-1956280,supply chain disruption
A.P. stockpiles fertilizers ahead of Kharif 2026; DAP sales double previous averages,"Agriculture department officials say that by securing 8.44 LMT before the peak of Kharif season, the administration is attempting to insulate the local agricultural market from potential supply chain disruptions or price volatility",The Hindu,2026-05-10T15:07:51+00:00,https://www.thehindu.com/news/national/andhra-pradesh/ap-stockpiles-fertilizers-ahead-of-kharif-2026-dap-sales-double-previous-averages/article70962325.ece,supply chain disruption
Celanese Q1 Earnings Call Highlights,"Celanese (NYSE:CE) executives said the company is prioritizing cash generation and operational flexibility as weak end-market demand continues, while supply chain disruptions are creating near-term opportunities in parts of its acetyls business.On the company’s first-quarter 2026 earnings call, Pr",lulegacy,2026-05-09T18:04:31+00:00,https://www.marketbeat.com/instant-alerts/celanese-q1-earnings-call-highlights-2026-05-09/,supply chain disruption
"Fed’s Goolsbee: Iran War Is Inflationary, Not Yet Stagflationary","Chicago Fed President Austan Goolsbee said the Iran conflict is increasingly behaving as an inflationary shock rather than a stagflationary one, a distinction that carries important implications for monetary policy. Speaking after attending the Milken Institute conference in Los Angeles, Goolsbee noted that while higher energy prices and supply chain disruptions are clearly pushing inflation [&#8230;]The post Fed’s Goolsbee: Iran War Is Inflationary, Not Yet Stagflationary appeared first on ActionForex.",actionforex,2026-05-07T02:29:43+00:00,https://www.actionforex.com/live-comments/639693-feds-goolsbee-iran-war-is-inflationary-not-yet-stagflationary/,supply chain disruption
"TVS Motor records 7% YOY growth in sales in April, flags supply chain disruptions","Two-wheelers registered a growth of 6% with sales increasing from 430,150 units in April 2025 to 455,333 units in April 2026",Business Line,2026-05-02T08:40:49+00:00,https://www.thehindubusinessline.com/companies/tvs-motor-records-7-yoy-growth-in-sales-in-april-flags-supply-chain-disruptions/article70931201.ece,supply chain disruption
