id,title,description,keyword,risk_label
1,TAT Technologies Q1 Earnings Call Highlights,"TAT Technologies (NASDAQ:TATT) said first-quarter 2026 revenue slipped slightly from a year earlier as supply chain disruptions delayed the completion and delivery of some aerospace maintenance work, but management said demand remains at record levels and reaffirmed its expectation for meaningful fu",supply chain disruption,no_risk
2,Firms set aside investing as Iran war squeeze tightens,"They are grappling with supply chain disruption, including delays and stock shortages, as well as higher energy bills.",supply chain disruption,geopolitical
3,"Measures underway to ease congestion at Sepanggar Bay Container Port, says SPA chairman","KOTA KINABALU (May 16): The Sabah Ports Authority (SPA) has assured industry players and the public that both immediate and long-term measures are being actively implemented to address operational congestion at Sepanggar Bay Container Port (SBCP), amid growing concerns over rising logistics costs and potential supply chain disruptions in the state. SPA chairman Datuk Donald [...]The post Measures underway to ease congestion at Sepanggar Bay Container Port, says SPA chairman appeared first on Borneo Post Online.",supply chain disruption,logistics
4,Charlebois: The restaurant industry’s breaking point has arrived (Writer's Bloc),"Canada's restaurant industry is often treated as a symbol of resilience. Through inflation, lockdowns, labour shortages and supply chain disruptions, restaurateurs have somehow kept the lights on. But beneath the surface of the latest sales numbers lies a much darker reality-the economics of operati...",supply chain disruption,no_risk
5,How UAE-Kenya trade corridor is redefining East Africa’s economic future,"For years, the narrative of Africa-global trade partnerships has been defined by extraction or aid dependency. Kenya has felt this acutely supply chain disruptions, infrastructure gaps, and foreign investment that rarely reaches the small-scale farmer or the young job-seeker. But a new model is emerging along the Indian Ocean corridor, and it is being built [&#8230;]The post How UAE-Kenya trade corridor is redefining East Africa’s economic future appeared first on KBC Digital.",supply chain disruption,no_risk
6,Diet Coke Parties: Iran War Cans Crisis Fuels Thirst For Cola Events in India,"Unlike most other markets, Diet Coke is sold only in cans in India, making the Coca-Cola beverage more vulnerable to supply chain disruptions caused by shipments stuck in the Strait of Hormuz",supply chain disruption,geopolitical
7,A.P. stockpiles fertilizers ahead of Kharif 2026; DAP sales double previous averages,"Agriculture department officials say that by securing 8.44 LMT before the peak of Kharif season, the administration is attempting to insulate the local agricultural market from potential supply chain disruptions or price volatility",supply chain disruption,material_shortage
8,Celanese Q1 Earnings Call Highlights,"Celanese (NYSE:CE) executives said the company is prioritizing cash generation and operational flexibility as weak end-market demand continues, while supply chain disruptions are creating near-term opportunities in parts of its acetyls business.On the company’s first-quarter 2026 earnings call, Pr",supply chain disruption,no_risk
9,"Fed’s Goolsbee: Iran War Is Inflationary, Not Yet Stagflationary","Chicago Fed President Austan Goolsbee said the Iran conflict is increasingly behaving as an inflationary shock rather than a stagflationary one, a distinction that carries important implications for monetary policy. Speaking after attending the Milken Institute conference in Los Angeles, Goolsbee noted that while higher energy prices and supply chain disruptions are clearly pushing inflation [&#8230;]The post Fed’s Goolsbee: Iran War Is Inflationary, Not Yet Stagflationary appeared first on ActionForex.",supply chain disruption,geopolitical
10,"TVS Motor records 7% YOY growth in sales in April, flags supply chain disruptions","Two-wheelers registered a growth of 6% with sales increasing from 430,150 units in April 2025 to 455,333 units in April 2026",supply chain disruption,no_risk
